,Document 1,Document 2
something,0.0031931123493642104,0.010743996119441206
provided,0.0031931123493642104,0.03223198835832362
kept,0.00957933704809263,0.02148799223888241
silent,0.00957933704809263,0.010743996119441206
coming,0.0031931123493642104,0.010743996119441206
tears,0.0031931123493642104,0.010743996119441206
set,0.0031931123493642104,0.04297598447776482
wife,0.0031931123493642104,0.010743996119441206
hundred,0.006386224698728421,0.010743996119441206
never,0.006386224698728421,0.02148799223888241
almost,0.0031931123493642104,0.010743996119441206
draw,0.0031931123493642104,0.04297598447776482
upon,0.0031931123493642104,0.02148799223888241
rest,0.006386224698728421,0.010743996119441206
order,0.0031931123493642104,0.010743996119441206
saw,0.006386224698728421,0.010743996119441206
far,0.0031931123493642104,0.04297598447776482
off,0.0031931123493642104,0.05371998059720603
sight,0.0031931123493642104,0.010743996119441206
day,0.0031931123493642104,0.010743996119441206
late,0.0031931123493642104,0.010743996119441206
brother,0.0031931123493642104,0.010743996119441206
feet,0.006386224698728421,0.02148799223888241
taken,0.0031931123493642104,0.010743996119441206
minutes,0.006386224698728421,0.010743996119441206
waited,0.0031931123493642104,0.010743996119441206
